"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220101","9호선2~3단계","봉은사","6418","6599","20220104",""
"20220101","9호선2~3단계","삼성중앙","1369","1342","20220104",""
"20220101","9호선2~3단계","선정릉","1905","2062","20220104",""
"20220101","9호선2~3단계","언주","2197","2177","20220104",""
"20220101","9호선","신논현","11872","11567","20220104",""
"20220101","9호선","사평","1135","1165","20220104",""
"20220101","9호선","고속터미널","5747","8054","20220104",""
"20220101","9호선","신반포","915","923","20220104",""
"20220101","9호선","구반포","374","367","20220104",""
"20220101","9호선","동작(현충원)","979","871","20220104",""
"20220101","9호선","흑석(중앙대입구)","2765","2866","20220104",""
"20220101","9호선","노들","1846","1592","20220104",""
"20220101","9호선","노량진","11914","12084","20220104",""
"20220101","9호선","샛강","1321","1284","20220104",""
"20220101","9호선","여의도","4901","4639","20220104",""
"20220101","9호선","국회의사당","2450","2192","20220104",""
"20220101","9호선","당산","6380","6129","20220104",""
"20220101","9호선","선유도","2097","2041","20220104",""
"20220101","9호선","신목동","1286","1123","20220104",""
"20220101","9호선","염창","6195","6059","20220104",""
"20220101","9호선","등촌","3980","4040","20220104",""
"20220101","9호선","증미","2496","2544","20220104",""
"20220101","9호선","가양","7454","7393","20220104",""
"20220101","9호선","양천향교","3038","3065","20220104",""
"20220101","9호선","마곡나루(서울식물원)","3936","3840","20220104",""
"20220101","9호선","신방화","2613","2658","20220104",""
"20220101","9호선","공항시장","1414","1491","20220104",""
"20220101","9호선","김포공항","5785","7500","20220104",""
"20220101","9호선","개화","888","806","20220104",""
"20220101","8호선","남위례","1367","1592","20220104",""
"20220101","8호선","모란","2208","1927","20220104",""
"20220101","8호선","수진","2462","2262","20220104",""
"20220101","8호선","신흥","2273","2602","20220104",""
"20220101","8호선","단대오거리","4316","4142","20220104",""
"20220101","8호선","남한산성입구(성남법원.검찰청)","5323","5004","20220104",""
"20220101","8호선","산성","2435","2447","20220104",""
"20220101","8호선","복정","3374","3023","20220104",""
"20220101","8호선","장지","7522","7404","20220104",""
"20220101","8호선","문정","3686","3717","20220104",""
"20220101","8호선","가락시장","2644","2828","20220104",""
"20220101","8호선","송파","2576","2707","20220104",""
"20220101","8호선","석촌","3107","3797","20220104",""
"20220101","8호선","잠실(송파구청)","8337","9287","20220104",""
"20220101","8호선","몽촌토성(평화의문)","2779","2571","20220104",""
"20220101","8호선","강동구청","3371","3526","20220104",""
"20220101","8호선","천호(풍납토성)","6431","7632","20220104",""
"20220101","8호선","암사","6855","6471","20220104",""
"20220101","7호선","부평구청","1","0","20220104",""
"20220101","7호선","굴포천","2","0","20220104",""
"20220101","7호선","부천시청","1","0","20220104",""
"20220101","7호선","신중동","3","0","20220104",""
"20220101","7호선","온수(성공회대입구)","2839","3001","20220104",""
"20220101","7호선","천왕","3682","3662","20220104",""
"20220101","7호선","광명사거리","9727","9687","20220104",""
"20220101","7호선","철산","7963","8160","20220104",""
"20220101","7호선","가산디지털단지","9016","7932","20220104",""
"20220101","7호선","남구로","5309","5399","20220104",""
"20220101","7호선","대림(구로구청)","5540","5581","20220104",""
"20220101","7호선","신풍","4307","4136","20220104",""
"20220101","7호선","보라매","3071","2998","20220104",""
"20220101","7호선","신대방삼거리","6131","5963","20220104",""
"20220101","7호선","장승배기","3472","3561","20220104",""
"20220101","7호선","상도","3968","3758","20220104",""
"20220101","7호선","숭실대입구(살피재)","3870","4157","20220104",""
"20220101","7호선","남성","4096","3940","20220104",""
"20220101","7호선","이수","5921","5493","20220104",""
"20220101","7호선","내방","3514","3427","20220104",""
"20220101","7호선","고속터미널","6805","4829","20220104",""
"20220101","7호선","반포","2099","2027","20220104",""
"20220101","7호선","논현","4681","4739","20220104",""
"20220101","7호선","학동","3245","3172","20220104",""
"20220101","7호선","강남구청","3317","3470","20220104",""
"20220101","7호선","청담","4282","4279","20220104",""
